Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
svs_f_q5,questionnaires_friend,,radio,Taken in by postal scams ,"0, Strongly disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",,,,,,[consentyn_d]='1',y,,,svs,,
svs_f_q6,questionnaires_friend,,radio,Supplied bank account details to a stranger ,"0, Strongly disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",,,,,,[consentyn_d]='1',y,,,svs,,
svs_f_q7,questionnaires_friend,,radio,Tricked into paying others bills,"0, Strongly disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",,,,,,[consentyn_d]='1',y,,,svs,,
svs_f_q8,questionnaires_friend,,radio,Persuaded to subscribe to unwanted books ,"0, Strongly disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",,,,,,[consentyn_d]='1',y,,,svs,,
svs_f_q9,questionnaires_friend,,radio,Unquestionably believes what (s)he is told,"0, Strongly disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",,,,,,[consentyn_d]='1',y,,,svs,,
svs_f_q10,questionnaires_friend,,radio,Believes things that are clearly untrue,"0, Strongly disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",,,,,,[consentyn_d]='1',y,,,svs,,
svs_f_q11,questionnaires_friend,,radio,Believes everything (s)he reads,"0, Strongly disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",,,,,,[consentyn_d]='1',y,,,svs,,
svs_f_q12,questionnaires_friend,,radio,Repeatedly deceived,"0, Strongly disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",,,,,,[consentyn_d]='1',y,,,svs,,
svs_f_q13,questionnaires_friend,,radio,Taken in by repeated lies,"0, Strongly disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",,,,,,[consentyn_d]='1',y,,,svs,,
svs_f_q14,questionnaires_friend,,radio,Easily fooled,"0, Strongly disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",,,,,,[consentyn_d]='1',y,,,svs,,
svs_f_q15,questionnaires_friend,,radio,Believes rumors unquestiongly,"0, Strongly disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",,,,,,[consentyn_d]='1',y,,,svs,,
aadis_f_instructions,questionnaires_friend,AADIS,descriptive,"DIRECTIONS: For each drug listed, please select under the column that best describes <em> your friend's use pattern DURING THE PAST 30 DAYS</em>.  Consider only drugs taken without a prescription from their doctor, OR medications that were prescribed to them for which they have <i>exceeded the recommended dosage.  </i>",,,,,,,[consentyn_d]='1',,,,,,
aadis_f_q1,questionnaires_friend,,radio,"Smoking tobacco (cigarettes, cigars), chewing tobacco, nicotine gum or nicotine patch","0, Never Used | 1, Tried Once or Twice | 2, Several Times a Month | 3, Weekends Only | 4, Several Times a Week | 5, Daily | 6, Several Times a Day | 7, I don't know",,,,,,[consentyn_d]='1',y,,,aadis_f,,
aadis_f_q2,questionnaires_friend,,radio,"Alcohol (beer, wine, liquor)","0, Never Used | 1, Tried Once or Twice | 2, Several Times a Month | 3, Weekends Only | 4, Several Times a Week | 5, Daily | 6, Several Times a Day | 7, I don't know",,,,,,[consentyn_d]='1',y,,,aadis_f,,
aadis_f_q3,questionnaires_friend,,radio,"Marijuana or Hashish (pot, weed, grass, blunts, wet)","0, Never Used | 1, Tried Once or Twice | 2, Several Times a Month | 3, Weekends Only | 4, Several Times a Week | 5, Daily | 6, Several Times a Day | 7, I don't know",,,,,,[consentyn_d]='1',y,,,aadis_f,,
aadis_f_q4,questionnaires_friend,,radio,"LSD, mushrooms, peyote, mescaline, or other hallucinogens  (acid, shrooms, Special K)","0, Never Used | 1, Tried Once or Twice | 2, Several Times a Month | 3, Weekends Only | 4, Several Times a Week | 5, Daily | 6, Several Times a Day | 7, I don't know",,,,,,[consentyn_d]='1',y,,,aadis_f,,
aadis_f_q5,questionnaires_friend,,radio,"Amphetamines (speed, ecstasy, uppers,crystal meth, Ice, Tina), or ritalin, concerta,or adderall without a prescription","0, Never Used | 1, Tried Once or Twice | 2, Several Times a Month | 3, Weekends Only | 4, Several Times a Week | 5, Daily | 6, Several Times a Day | 7, I don't know",,,,,,[consentyn_d]='1',y,,,aadis_f,,
aadis_f_q6,questionnaires_friend,,radio,"Powder Cocaine (coke, blow)","0, Never Used | 1, Tried Once or Twice | 2, Several Times a Month | 3, Weekends Only | 4, Several Times a Week | 5, Daily | 6, Several Times a Day | 7, I don't know",,,,,,[consentyn_d]='1',y,,,aadis_f,,
aadis_f_q7,questionnaires_friend,,radio,"Rock Cocaine (crack, rock, freebase)","0, Never Used | 1, Tried Once or Twice | 2, Several Times a Month | 3, Weekends Only | 4, Several Times a Week | 5, Daily | 6, Several Times a Day | 7, I don't know",,,,,,[consentyn_d]='1',y,,,aadis_f,,
aadis_f_q8,questionnaires_friend,,radio,"Barbiturates (quaaludes, downers, ludes, blues, goofballs)","0, Never Used | 1, Tried Once or Twice | 2, Several Times a Month | 3, Weekends Only | 4, Several Times a Week | 5, Daily | 6, Several Times a Day | 7, I don't know",,,,,,[consentyn_d]='1',y,,,aadis_f,,
aadis_f_q9,questionnaires_friend,,radio,PCP (angel dust),"0, Never Used | 1, Tried Once or Twice | 2, Several Times a Month | 3, Weekends Only | 4, Several Times a Week | 5, Daily | 6, Several Times a Day | 7, I don't know",,,,,,[consentyn_d]='1',y,,,aadis_f,,
aadis_f_q10,questionnaires_friend,,radio,"Heroin or other opiates (opium, morphine, oxycontin, codeine, smack, horse, cheese)","0, Never Used | 1, Tried Once or Twice | 2, Several Times a Month | 3, Weekends Only | 4, Several Times a Week | 5, Daily | 6, Several Times a Day | 7, I don't know",,,,,,[consentyn_d]='1',y,,,aadis_f,,
aadis_f_q11,questionnaires_friend,,radio,"Inhalants (glue, gasoline, spray cans, paint, nitrous oxide, whippits, ether, chloroform, whiteout, rush, etc.)","0, Never Used | 1, Tried Once or Twice | 2, Several Times a Month | 3, Weekends Only | 4, Several Times a Week | 5, Daily | 6, Several Times a Day | 7, I don't know",,,,,,[consentyn_d]='1',y,,,aadis_f,,
aadis_f_q12,questionnaires_friend,,radio,"Valium, xanax (xanies), ativan, benzos, GHB (roofies) or other tranquilizers without a prescription","0, Never Used | 1, Tried Once or Twice | 2, Several Times a Month | 3, Weekends Only | 4, Several Times a Week | 5, Daily | 6, Several Times a Day | 7, I don't know",,,,,,[consentyn_d]='1',y,,,aadis_f,,
aadis_f_q13,questionnaires_friend,,radio,Other drug(s),"0, Never Used | 1, Tried Once or Twice | 2, Several Times a Month | 3, Weekends Only | 4, Several Times a Week | 5, Daily | 6, Several Times a Day | 7, I don't know",,,,,,[consentyn_d]='1',y,,,aadis_f,,
aadis_f_other,questionnaires_friend,,text,Please specify other drug(s),,,,,,,[consentyn_d]='1',,,,,,
bonus_incentive_030922,questionnaires_for_home,Incentives,text,"<div class=""rich-text-field-label""><p>How much would you pay for a <span style=""text-decoration: underline;""><em>50%</em></span> chance to win <em><span style=""text-decoration: underline;"">$150</span></em>?</p></div>",,In US dollars,integer,,,,,y,,,,,
teps_instructions,questionnaires_for_home,TEPS,descriptive,"DIRECTIONS: Please read each statement carefully and decide <em>how true that statement has been for you in the past week</em>. Please respond to all items. In the rare case where you have never had the experience described, think about the most similar experience you've had and make your response. Do not leave any blank. Choose only one response to each statement. Don't worry about being consistent in your responses. Choose from the following 6 response options. ",,,,,,,[consentyn_d]='1',,,,,,
teps_q1,questionnaires_for_home,,radio,"1. If I were to hear about a new movie coming out starring my favorite actor, I
would get very excited to see it. ","1, 1- very false for me | 2, 2- moderately false for me | 3, 3- slightly false for me | 4, 4- slightly true for me | 5, 5-moderately true for me | 6, 6-very true for me",,,,,,,y,,,teps,,
teps_q2,questionnaires_for_home,,radio,"2.I have enjoyed experiences like taking deep breaths of fresh air when I walk
outside. ","1, 1- very false for me | 2, 2- moderately false for me | 3, 3- slightly false for me | 4, 4- slightly true for me | 5, 5-moderately true for me | 6, 6-very true for me",,,,,,,y,,,teps,,
teps_q3,questionnaires_for_home,,radio,"3. The smell of freshly cut grass (or the outdoors) has been enjoyable to me. 
","1, 1- very false for me | 2, 2- moderately false for me | 3, 3- slightly false for me | 4, 4- slightly true for me | 5, 5-moderately true for me | 6, 6-very true for me",,,,,,,y,,,teps,,
teps_q4,questionnaires_for_home,,radio,4. I have been looking forward to a lot of things. ,"1, 1- very false for me | 2, 2- moderately false for me | 3, 3- slightly false for me | 4, 4- slightly true for me | 5, 5-moderately true for me | 6, 6-very true for me",,,,,,,y,,,teps,,
teps_q5,questionnaires_for_home,,radio,5. I have enjoyed the touch of others.,"1, 1- very false for me | 2, 2- moderately false for me | 3, 3- slightly false for me | 4, 4- slightly true for me | 5, 5-moderately true for me | 6, 6-very true for me",,,,,,,y,,,teps,,
teps_q6,questionnaires_for_home,,radio,"6. I have noticed that looking forward to a pleasurable experience is in itself
pleasurable.","1, 1- very false for me | 2, 2- moderately false for me | 3, 3- slightly false for me | 4, 4- slightly true for me | 5, 5-moderately true for me | 6, 6-very true for me",,,,,,,y,,,teps,,
teps_q7,questionnaires_for_home,,radio,7. I have found a hot cup of coffee or tea very satisfying.,"1, 1- very false for me | 2, 2- moderately false for me | 3, 3- slightly false for me | 4, 4- slightly true for me | 5, 5-moderately true for me | 6, 6-very true for me",,,,,,,y,,,teps,,
teps_q8,questionnaires_for_home,,radio,"8.  I have noticed that when I think of something tasty, like a chocolate chip cookie,
I have to have one.","1, 1- very false for me | 2, 2- moderately false for me | 3, 3- slightly false for me | 4, 4- slightly true for me | 5, 5-moderately true for me | 6, 6-very true for me",,,,,,,y,,,teps,,
teps_q9,questionnaires_for_home,,radio,9. I have appreciated the beauty of the outdoors.,"1, 1- very false for me | 2, 2- moderately false for me | 3, 3- slightly false for me | 4, 4- slightly true for me | 5, 5-moderately true for me | 6, 6-very true for me",,,,,,,y,,,teps,,
teps_q10,questionnaires_for_home,,radio,"10.  I've noticed that I get so excited before important days or events that I can
hardly sleep. ","1, 1- very false for me | 2, 2- moderately false for me | 3, 3- slightly false for me | 4, 4- slightly true for me | 5, 5-moderately true for me | 6, 6-very true for me",,,,,,,y,,,teps,,
teps_q11,questionnaires_for_home,,radio,"11. When I'm about to do something fun, I can hardly wait","1, 1- very false for me | 2, 2- moderately false for me | 3, 3- slightly false for me | 4, 4- slightly true for me | 5, 5-moderately true for me | 6, 6-very true for me",,,,,,,y,,,teps,,
teps_q12,questionnaires_for_home,,radio,12. I've noticed that I really enjoy the feeling of a good yawn.,"1, 1- very false for me | 2, 2- moderately false for me | 3, 3- slightly false for me | 4, 4- slightly true for me | 5, 5-moderately true for me | 6, 6-very true for me",,,,,,,y,,,teps,,
teps_q13,questionnaires_for_home,,radio,13. I've noticed that I don't look forward to things like eating out at restaurants. ,"1, 1- very false for me | 2, 2- moderately false for me | 3, 3- slightly false for me | 4, 4- slightly true for me | 5, 5-moderately true for me | 6, 6-very true for me",,,,,,,y,,,teps,,
teps_q14,questionnaires_for_home,,radio,"14. I've noticed that I love the sound of rain on the windows (or other outdoor
sounds) when I'm lying in my warm bed. ","1, 1- very false for me | 2, 2- moderately false for me | 3, 3- slightly false for me | 4, 4- slightly true for me | 5, 5-moderately true for me | 6, 6-very true for me",,,,,,,y,,,teps,,
teps_q15,questionnaires_for_home,,radio,"15. When I think about eating my favorite food, I can almost taste how good it is. ","1, 1- very false for me | 2, 2- moderately false for me | 3, 3- slightly false for me | 4, 4- slightly true for me | 5, 5-moderately true for me | 6, 6-very true for me",,,,,,,y,,,teps,,
teps_q16,questionnaires_for_home,,radio,"16. When I'm ordering something off the menu, I imagine how good it will taste. ","1, 1- very false for me | 2, 2- moderately false for me | 3, 3- slightly false for me | 4, 4- slightly true for me | 5, 5-moderately true for me | 6, 6-very true for me",,,,,,,y,,,teps,,
teps_q17,questionnaires_for_home,,radio,"17. I've noticed that things like the sound of crackling wood in the fireplace can be
very relaxing. ","1, 1- very false for me | 2, 2- moderately false for me | 3, 3- slightly false for me | 4, 4- slightly true for me | 5, 5-moderately true for me | 6, 6-very true for me",,,,,,,y,,,teps,,
teps_q18,questionnaires_for_home,,radio,"18.  When something exciting is coming up in my life, I really look forward to it. ","1, 1- very false for me | 2, 2- moderately false for me | 3, 3- slightly false for me | 4, 4- slightly true for me | 5, 5-moderately true for me | 6, 6-very true for me",,,,,,,y,,,teps,,
aadis_instructions,questionnaires_for_home,AADIS,descriptive,"DIRECTIONS: For each drug listed, please select under the column that best describes your use pattern <em>DURING THE PAST 30 DAYS</em>.  Consider only drugs taken without a prescription from your doctor, OR medications that were prescribed to you for which you have <i>exceeded the recommended dosage.  </i>",,,,,,,,,,,,,
aadis_q1,questionnaires_for_home,,radio,"Smoking tobacco (cigarettes, cigars), 
chewing tobacco, nicotine gum or 
nicotine patch","0, Never Used |1, Tried Once or Twice |2,Several Times a Month | 3, Weekends Only | 4, Several Times a Week | 5, Daily | 6, Several Times a Day",,,,,,,y,,,aadis,,
aadis_q2,questionnaires_for_home,,radio,"Alcohol (beer, wine, liquor)","0, Never Used |1, Tried Once or Twice |2,Several Times a Month | 3, Weekends Only | 4, Several Times a Week | 5, Daily | 6, Several Times a Day",,,,,,,y,,,aadis,,
aadis_q3,questionnaires_for_home,,radio,"Marijuana or Hashish 
(pot, weed, grass, blunts, wet)","0, Never Used |1, Tried Once or Twice |2,Several Times a Month | 3, Weekends Only | 4, Several Times a Week | 5, Daily | 6, Several Times a Day",,,,,,,y,,,aadis,,
aadis_q4,questionnaires_for_home,,radio,"LSD, mushrooms, peyote, mescaline, 
or other hallucinogens  (acid, shrooms, 
Special K)","0, Never Used |1, Tried Once or Twice |2,Several Times a Month | 3, Weekends Only | 4, Several Times a Week | 5, Daily | 6, Several Times a Day",,,,,,,y,,,aadis,,
aadis_q5,questionnaires_for_home,,radio,"Amphetamines (speed, ecstasy, uppers,
crystal meth, Ice, Tina), or ritalin, concerta,
or adderall without a prescription
","0, Never Used |1, Tried Once or Twice |2,Several Times a Month | 3, Weekends Only | 4, Several Times a Week | 5, Daily | 6, Several Times a Day",,,,,,,y,,,aadis,,
aadis_q6,questionnaires_for_home,,radio,"Powder Cocaine (coke, blow)","0, Never Used |1, Tried Once or Twice |2,Several Times a Month | 3, Weekends Only | 4, Several Times a Week | 5, Daily | 6, Several Times a Day",,,,,,,y,,,aadis,,
aadis_q7,questionnaires_for_home,,radio,"Rock Cocaine (crack, rock, freebase)","0, Never Used |1, Tried Once or Twice |2,Several Times a Month | 3, Weekends Only | 4, Several Times a Week | 5, Daily | 6, Several Times a Day",,,,,,,y,,,aadis,,
aadis_q8,questionnaires_for_home,,radio,"Barbiturates (quaaludes, downers, ludes, 
blues, goofballs)","0, Never Used |1, Tried Once or Twice |2,Several Times a Month | 3, Weekends Only | 4, Several Times a Week | 5, Daily | 6, Several Times a Day",,,,,,,y,,,aadis,,
aadis_q9,questionnaires_for_home,,radio,PCP (angel dust),"0, Never Used |1, Tried Once or Twice |2,Several Times a Month | 3, Weekends Only | 4, Several Times a Week | 5, Daily | 6, Several Times a Day",,,,,,,y,,,aadis,,
aadis_q10,questionnaires_for_home,,radio,"Heroin or other opiates (opium, morphine, oxycontin, codeine, smack, horse, cheese)","0, Never Used |1, Tried Once or Twice |2,Several Times a Month | 3, Weekends Only | 4, Several Times a Week | 5, Daily | 6, Several Times a Day",,,,,,,y,,,aadis,,
aadis_q11,questionnaires_for_home,,radio,"Inhalants (glue, gasoline, spray cans, paint, nitrous oxide, whippits, ether, chloroform, whiteout, rush, etc.)","0, Never Used |1, Tried Once or Twice |2,Several Times a Month | 3, Weekends Only | 4, Several Times a Week | 5, Daily | 6, Several Times a Day",,,,,,,y,,,aadis,,
aadis_q12,questionnaires_for_home,,radio,"Valium, xanax (xanies), ativan, benzos, GHB (roofies) or other tranquilizers without a prescription","0, Never Used |1, Tried Once or Twice |2,Several Times a Month | 3, Weekends Only | 4, Several Times a Week | 5, Daily | 6, Several Times a Day",,,,,,,y,,,aadis,,
aadis_q13,questionnaires_for_home,,radio,Other drug(s) ,"0, Never Used |1, Tried Once or Twice |2,Several Times a Month | 3, Weekends Only | 4, Several Times a Week | 5, Daily | 6, Several Times a Day",,,,,,,y,,,aadis,,
aadis_other,questionnaires_for_home,,text,Please specify other drug(s),,,,,,,[aadis_q13] > 0,,,,,,
asrm_inst,questionnaires_for_home,ASRM,descriptive," Directions:  Please read each group of statements carefully.  Then pick out the one statement in each group which best describes the way you were feeling <em>DURING THE PAST 30 DAYS</em>  by selecting the bubble next to that statement. If several statements in the group seem to apply equally well, select the  statement that applies to your feelings for the MAJORITY of the past 30 days.  BE SURE TO READ ALL THE STATEMENTS IN EACH GROUP BEFORE MAKING YOUR CHOICE, and please do not skip any items.",,,,,,,,,,,,,
asrm_q1,questionnaires_for_home,,radio,1,"0, I do not feel happier or more cheerful than usual. | 1, I occasionally feel happier or more cheerful than usual.  | 2, I often feel happier or more cheerful than usual. | 3, I feel happier or more cheerful than usual most of the time. | 4, I feel happier or more cheerful than usual all of the time.",,,,,,,y,,,,,
asrm_q2,questionnaires_for_home,,radio,2,"0, I do not feel more self confident than usual. | 1, I occasionally feel more self confident than usual.  | 2, I often feel more self confident than usual. | 3,  I feel more self confident than usual most of the time. | 4, I feel extremely self confident all of the time.",,,,,,,y,,,,,
asrm_q3,questionnaires_for_home,,radio,3,"0, I do not need less sleep than usual. | 1, I occasionally need less sleep than usual.  | 2,  I often need less sleep than usual.| 3,  I frequently need less sleep than usual.| 4,  I can go all day and night without any sleep and still not feel tired.",,,,,,,y,,,,,
asrm_q4,questionnaires_for_home,,radio,4,"0,  I do not talk more than usual. | 1,  I occasionally talk more than usual. | 2,  I often talk more than usual. | 3,  I frequently talk more than usual. | 4, I talk constantly and cannot be interrupted.",,,,,,,y,,,,,
asrm_q5,questionnaires_for_home,,radio,5,"0,  I have not been more active (either socially, sexually, at work, home, or school) than usual. | 1, I have occasionally been more active than usual.  | 2, I have often been more active than usual. | 3, I have frequently been more active than usual. | 4,  I am constantly active or on the go all the time.",,,,,,,y,,,,,
susd_inst,questionnaires_for_home,SUSD,descriptive,"<em> Below are some questions about behaviors that occur in the general population. Using the scale below, select the number that best describes how often you experience these behaviors. ",,,,,,,,,,,,,
susd_q1,questionnaires_for_home,,radio,"1. Have you had periods of extreme happiness and intense energy lasting several days or more when you also felt much more anxious or tense (jittery, nervous. uptight) than usual (other than related to the menstrual cycle)?","0, Never of hardly ever | 1, Sometimes | 2, Often | 3, Very often or almost constantly",,,,,,,y,,,susd,,
susd_q2,questionnaires_for_home,,radio,2. Have there been times of several days or more when you were so sad that it was quite painful or you felt that you couldn't stand it?,"0, Never of hardly ever | 1, Sometimes | 2, Often | 3, Very often or almost constantly",,,,,,,y,,,susd,,
susd_q3,questionnaires_for_home,,radio,"3. Have there been times lasting several days or more when you felt you must have lots of excitement, and you actually did a lot of new or different things?","0, Never of hardly ever | 1, Sometimes | 2, Often | 3, Very often or almost constantly",,,,,,,y,,,susd,,
susd_q4,questionnaires_for_home,,radio,"4. Have you had periods of extreme happiness and intense energy (clearly more than your usual self) when, for several days or more, it took you over an hour to get to sleep at night?","0, Never of hardly ever | 1, Sometimes | 2, Often | 3, Very often or almost constantly",,,,,,,y,,,susd,,
susd_q5,questionnaires_for_home,,radio,"5. Have there been long periods in your life when you felt sad, depressed, or irritable most of the time?","0, Never of hardly ever | 1, Sometimes | 2, Often | 3, Very often or almost constantly",,,,,,,y,,,susd,,
susd_q6,questionnaires_for_home,,radio,"6. Have you had periods of extreme happiness and high energy lasting several days or more when what you saw, heard, smelled, tasted, or touched seemed vivid or intense?","0, Never of hardly ever | 1, Sometimes | 2, Often | 3, Very often or almost constantly",,,,,,,y,,,susd,,
susd_q7,questionnaires_for_home,,radio,7. Have there been periods of several days or more when your thinking was so clear and quick that it was much better than most other people's?,"0, Never of hardly ever | 1, Sometimes | 2, Often | 3, Very often or almost constantly",,,,,,,y,,,susd,,
susd_q8,questionnaires_for_home,,radio,8. Have there been times of a couple days or more when you felt that you were a very important person or that your abilities or talents were better than most other people's?,"0, Never of hardly ever | 1, Sometimes | 2, Often | 3, Very often or almost constantly",,,,,,,y,,,susd,,
susd_q9,questionnaires_for_home,,radio,"9. Have there been times when you have hated yourself or felt that you were stupid, ugly, unlovable, or useless?","0, Never of hardly ever | 1, Sometimes | 2, Often | 3, Very often or almost constantly",,,,,,,y,,,susd,,
susd_q10,questionnaires_for_home,,radio,10. Have there been times of several days or more when you really got down on yourself and felt worthless?,"0, Never of hardly ever | 1, Sometimes | 2, Often | 3, Very often or almost constantly",,,,,,,y,,,susd,,
susd_q11,questionnaires_for_home,,radio,11. Have you had periods when it seemed that the future was hopeless and things could not improve?,"0, Never of hardly ever | 1, Sometimes | 2, Often | 3, Very often or almost constantly",,,,,,,y,,,susd,,
susd_q12,questionnaires_for_home,,radio,12. Have there been periods lasting several days or more when you were so down in the dumps that you thought you might never snap out of it?,"0, Never of hardly ever | 1, Sometimes | 2, Often | 3, Very often or almost constantly",,,,,,,y,,,susd,,
susd_q13,questionnaires_for_home,,radio,"13. Have you had times when your thoughts and ideas came so fast that you couldn't get them all out, or they came so quickly that others complained that they couldn't keep up with your ideas?","0, Never of hardly ever | 1, Sometimes | 2, Often | 3, Very often or almost constantly",,,,,,,y,,,susd,,
susd_q14,questionnaires_for_home,,radio,14. Have there been times when you have felt that you would be better off dead?,"0, Never of hardly ever | 1, Sometimes | 2, Often | 3, Very often or almost constantly",,,,,,,y,,,susd,,
iri_inst,questionnaires_for_home,IRI,descriptive,"DIRECTIONS: The following statements inquire about your thoughts and feelings in a variety of
situations. For each item, indicate how well it describes you by choosing the appropriate
letter on the scale at the top of the page: A, B, C, D, or E. READ EACH ITEM CAREFULLY
BEFORE RESPONDING. Answer as honestly as you can. Thank you. ",,,,,,,,,,,,,
iri_q1,questionnaires_for_home,,radio,"1. I daydream and fantasize, with some regularity, about things that might happen to me. ","0, A- Does not describe me well | 1, B | 2, C | 3,D | 4, E-Describes very well",,,,,,,y,,,iri,,
iri_q2,questionnaires_for_home,,radio,"2. I often have tender, concerned feelings for people less fortunate than me.","0, A- Does not describe me well | 1, B | 2, C | 3,D | 4, E-Describes very well",,,,,,,y,,,iri,,
iri_q3,questionnaires_for_home,,radio,"3. I sometimes find it difficult to see things from the ""other guy's"" point of view. ","0, A- Does not describe me well | 1, B | 2, C | 3,D | 4, E-Describes very well",,,,,,,y,,,iri,,
iri_q4,questionnaires_for_home,,radio,4. Sometimes I don't feel very sorry for other people when they are having problems.,"0, A- Does not describe me well | 1, B | 2, C | 3,D | 4, E-Describes very well",,,,,,,y,,,iri,,
iri_q5,questionnaires_for_home,,radio,5. I really get involved with the feelings of the characters in a novel.,"0, A- Does not describe me well | 1, B | 2, C | 3,D | 4, E-Describes very well",,,,,,,y,,,iri,,
iri_q6,questionnaires_for_home,,radio,"6. In emergency situations, I feel apprehensive and ill-at-ease.","0, A- Does not describe me well | 1, B | 2, C | 3,D | 4, E-Describes very well",,,,,,,y,,,iri,,
iri_q7,questionnaires_for_home,,radio,"7. I am usually objective when I watch a movie or play, and I don't often get completely caught up in it.","0, A- Does not describe me well | 1, B | 2, C | 3,D | 4, E-Describes very well",,,,,,,y,,,iri,,
iri_q8,questionnaires_for_home,,radio,8. I try to look at everybody's side of a disagreement before I make a decision.,"0, A- Does not describe me well | 1, B | 2, C | 3,D | 4, E-Describes very well",,,,,,,y,,,iri,,
iri_q9,questionnaires_for_home,,radio,"9. When I see someone being taken advantage of, I feel kind of protective towards them.","0, A- Does not describe me well | 1, B | 2, C | 3,D | 4, E-Describes very well",,,,,,,y,,,iri,,
iri_q10,questionnaires_for_home,,radio,10. I sometimes feel helpless when I am in the middle of a very emotional situation.,"0, A- Does not describe me well | 1, B | 2, C | 3,D | 4, E-Describes very well",,,,,,,y,,,iri,,
iri_q11,questionnaires_for_home,,radio,11. I sometimes try to understand my friends better by imagining how things look from their perspective.,"0, A- Does not describe me well | 1, B | 2, C | 3,D | 4, E-Describes very well",,,,,,,y,,,iri,,
iri_q12,questionnaires_for_home,,radio,12. Becoming extremely involved in a good book or movie is somewhat rare for me.,"0, A- Does not describe me well | 1, B | 2, C | 3,D | 4, E-Describes very well",,,,,,,y,,,iri,,
iri_q13,questionnaires_for_home,,radio,"13. When I see someone get hurt, I tend to remain calm.","0, A- Does not describe me well | 1, B | 2, C | 3,D | 4, E-Describes very well",,,,,,,y,,,iri,,
iri_q14,questionnaires_for_home,,radio,14. Other people's misfortunes do not usually disturb me a great deal.,"0, A- Does not describe me well | 1, B | 2, C | 3,D | 4, E-Describes very well",,,,,,,y,,,iri,,
iri_q15,questionnaires_for_home,,radio,"15. If I'm sure I'm right about something, I don't waste much time listening to other people's arguments.","0, A- Does not describe me well | 1, B | 2, C | 3,D | 4, E-Describes very well",,,,,,,y,,,iri,,
iri_q16,questionnaires_for_home,,radio,"16. After seeing a play or movie, I have felt as though I were one of the characters.","0, A- Does not describe me well | 1, B | 2, C | 3,D | 4, E-Describes very well",,,,,,,y,,,iri,,
iri_q17,questionnaires_for_home,,radio,17. Being in a tense emotional situation scares me.,"0, A- Does not describe me well | 1, B | 2, C | 3,D | 4, E-Describes very well",,,,,,,y,,,iri,,
iri_q18,questionnaires_for_home,,radio,"18. When I see someone being treated unfairly, I sometimes don't feel very much pity for them.","0, A- Does not describe me well | 1, B | 2, C | 3,D | 4, E-Describes very well",,,,,,,y,,,iri,,
iri_q19,questionnaires_for_home,,radio,19. I am usually pretty effective in dealing with emergencies.,"0, A- Does not describe me well | 1, B | 2, C | 3,D | 4, E-Describes very well",,,,,,,y,,,iri,,
iri_q20,questionnaires_for_home,,radio,20. I am often quite touched by things that I see happen.,"0, A- Does not describe me well | 1, B | 2, C | 3,D | 4, E-Describes very well",,,,,,,y,,,iri,,
iri_q21,questionnaires_for_home,,radio,21. I believe that there are two sides to every question and try to look at them both.,"0, A- Does not describe me well | 1, B | 2, C | 3,D | 4, E-Describes very well",,,,,,,y,,,iri,,
iri_q22,questionnaires_for_home,,radio,22. I would describe myself as a pretty soft-hearted person.,"0, A- Does not describe me well | 1, B | 2, C | 3,D | 4, E-Describes very well",,,,,,,y,,,iri,,
iri_q23,questionnaires_for_home,,radio,"23. When I watch a good movie, I can very easily put myself in the place of a leading
character. ","0, A- Does not describe me well | 1, B | 2, C | 3,D | 4, E-Describes very well",,,,,,,y,,,iri,,
iri_q24,questionnaires_for_home,,radio,24. I tend to lose control during emergencies.,"0, A- Does not describe me well | 1, B | 2, C | 3,D | 4, E-Describes very well",,,,,,,y,,,iri,,
iri_q25,questionnaires_for_home,,radio,"25. When I'm upset at someone, I usually try to ""put myself in his shoes"" for a while.","0, A- Does not describe me well | 1, B | 2, C | 3,D | 4, E-Describes very well",,,,,,,y,,,iri,,
iri_q26,questionnaires_for_home,,radio,"26. When I am reading an interesting story or novel, I imagine how <em>I </em> would feel if the
events in the story were happening to me. ","0, A- Does not describe me well | 1, B | 2, C | 3,D | 4, E-Describes very well",,,,,,,y,,,iri,,
iri_q27,questionnaires_for_home,,radio,"27. When I see someone who badly needs help in an emergency, I go to pieces. ","0, A- Does not describe me well | 1, B | 2, C | 3,D | 4, E-Describes very well",,,,,,,y,,,iri,,
